start,end,text
2923.7000000000003,2925.38," perhaps, for turning him in."
2926.26,2929.14, And Chinggis Khan does reward them immediately.
2929.14,2931.06, He kills them all.
2931.06,2936.06," Because they have betrayed their leader,"
2936.5,2938.98, who is his Anda.
2939.94,2943.7, It's a very strange encounter.
2943.7,2948.38," And so, supposedly, Chinggis Khan says to him,"
2948.38,2951.94," come back to me, save me, be beside me,"
2951.94,2956.7400000000002," protect me, be my shadow, be my safety guard in life."
2958.7,2961.82," And supposedly, Jamukha says,"
2963.7,2965.62, but I did betray you.
2965.62,2967.66, My people fought against you.
2967.8199999999997,2969.8999999999996, And you will always know that.
2969.8999999999996,2972.3799999999997, And you will never completely trust me.
2972.3799999999997,2977.3799999999997, I will be like a louse underneath the collar of your tunic.
2977.94,2982.94, I will be like a thorn in the lapel of your dell.
2983.66,2988.2999999999997," He said, kill me without shedding my blood."
2988.2999999999997,2989.98, Let me die.
2989.98,2994.98," And if you do, take my remains up to a high place"
2995.42,2999.46," and bury me, and I will be the guard."
2999.46,3003.18, I will be the protector for you and your people forever.
3004.06,3009.06," So, obviously, Jamukha did not participate in the killing,"
3010.86,3013.26, but he ordered the killing.
3013.26,3018.26, And it's not specified how he was killed
3018.9,3020.38," without shedding the blood,"
3020.38,3021.9, but the Mongols had several ways.
3021.9,3023.62, Because the most honorable way to die
3023.62,3025.2999999999997, was without shedding blood.
3025.2999999999997,3027.06," The blood contains part of the soul,"
3027.06,3027.9," and if you lose it,"
3027.9,3029.9, you're losing your soul before you die.
3029.9,3033.9," So, they usually wrapped them up in felt carpets"
3033.9,3035.18, and then beat them to death
3035.18,3038.1," or trampled into death with horses, something like that."
3038.1,3039.5," There are a couple other methods,"
3039.5,3041.2999999999997, but I think that's probably the method
3041.2999999999997,3043.5, by which Jamukha was killed.
3043.5,3046.58," And so, he was killed, and then Tamujin had,"
3046.58,3049.66, or Chinggis Khan had his remains taken up
3049.66,3051.98, and buried in a high place.
3052.02,3056.58," This is over near Tuva, which is today part of Russia."
3056.58,3060.54," But until the 20th century, it was a part of Mongolia,"
3060.54,3064.42," the Tuvan people, very, very close culturally to the Mongols."
3064.42,3069.42," It seems that both of them, under the under-relationship,"
3070.1,3072.58, had a deep value for loyalty.
3072.58,3074.26," And so, the way, you know,"
3074.26,3077.42," it's not worth living after you've been disloyal,"
3077.42,3081.06," which is the Jamukha perspective, right?"
3081.1,3083.7799999999997," He had become very practical at this point,"
3084.7799999999997,3089.02, and he understood that you needed complete total loyalty
3089.02,3091.86, and trust with everybody around you.
3093.2999999999997,3094.7799999999997," And I think for this reason,"
3094.7799999999997,3099.7799999999997," he was willing either, say, to accept the plea of Jamukha."
3100.34,3104.2599999999998, And when Chinggis Khan was asking him to come back
3104.2599999999998,3109.2599999999998," and to be his shadow and to be his safety guard again,"
3111.38,3113.58, maybe that was just a formality
3113.58,3115.18, that he knew would be rejected.
3116.22,3120.14, Or maybe when Jamukha offered to be killed
3120.14,3121.34," without shedding the blood,"
3121.34,3123.94, that was a formality that he thought
3123.94,3125.58, would not be followed through.
3125.58,3128.9," Nevertheless, to me, just reading your work"
3128.9,3130.54," and understanding this history,"
3130.54,3132.18," this relationship seems like a really,"
3132.18,3134.62, really important relationship
3134.62,3139.14, that defines the nature of loyalty for Chinggis.
3139.14,3143.3799999999997," I would say in both negative and positive ways,"
3143.3799999999997,3145.74, it was the most important relationship
3145.74,3148.46, of his adulthood aside from bursa.
3148.46,3150.98, But that relationship really did not seem
3150.98,3153.3399999999997, to have many negative aspects.
3153.3399999999997,3156.2999999999997," They sometimes disagreed on things, but small things."
3156.2999999999997,3160.02, So she was by him and she was positive in every regard
3160.02,3163.7," so far as we know forever, although she was not submissive,"
3163.7,3166.5, but she was always on his side.
3166.5,3171.5," And Jamukha, it was just a little too hotheaded for me,"
3171.54,3174.34," I mean, in my evaluation of him,"
3174.34,3177.78," that these things like, oh, we're gonna drop down"
3177.78,3180.42," on the market and we're gonna come through the smoke hole,"
3180.42,3181.94, kill everybody and all.
3181.94,3185.34," And he had a flair for the dramatic,"
3185.34,3188.9, even in a way giving the gold belt to Mujin.
3188.9,3193.14," But Jamukha also, he explained himself at the end of life."
3193.14,3198.1," And he said, you know, we both lost our father,"
3198.1,3200.46, but I also lost my mother
3200.46,3203.2599999999998, and you had a strong mother to raise you.
3203.2599999999998,3205.02, I did not.
3205.02,3207.06," He said, you had bursa,"
3207.06,3210.58, you have a very strong wife to help you.
3210.58,3214.3799999999997," And my wife, he just used a word like prattler,"
3214.3799999999997,3218.02, like she just sort of complains and prattles along
3218.02,3220.7799999999997, and we did not have a relationship.
3220.78,3225.78," So I think something about that rings true,"
3225.86,3229.94, that there were some elements of that that were true.
3229.94,3233.42, But Jamukha certainly didn't have the intelligence
3233.42,3237.1400000000003," and the real genius for dealing with people,"
3237.1400000000003,3238.7000000000003," dealing with soldiers especially,"
3238.7000000000003,3242.6600000000003, and warfare that Mujin had.
3242.6600000000003,3245.42," Yeah, in that relationship, there's a contrast"
3245.42,3249.78, because Genghis Khan did not accumulate riches
3249.78,3253.0600000000004, or accumulate power in a way
3253.0600000000004,3255.02, that was for the sake of the riches
3255.02,3256.5800000000004, or for the sake of the power.
3256.5800000000004,3260.94, It was always very practical in what is the way
3260.94,3264.7000000000003, to maximize the success of this operation.
3264.7000000000003,3267.82," Yes, yes, he, I often wonder,"
3267.82,3269.42, what happened to the gold belt?
3269.42,3271.98," It disappeared from the story, you know?"
3271.98,3274.98," And a gold belt doesn't just disappear, you know?"
3274.98,3275.94, What happened to that?
3275.94,3277.86, It's so interesting because
3278.7400000000002,3281.98, to Mujin was never interested in material goods.
3281.98,3284.46," And when as Genghis Khan is the ruler,"
3284.46,3286.9, he in some ways you could say became the richest man
3286.9,3289.06, in the world because he controlled the most wealth
3289.06,3292.2200000000003," flowing through him, but he always dressed simply."
3292.2200000000003,3293.94, He always lived in the tent.
3293.94,3297.54," And he said, I eat what my soldiers eat."
3297.54,3299.46, I dress the way my soldiers dress.
3299.46,3301.38, I live the way my soldiers live.
3301.38,3303.1400000000003, We are the same.
3303.1400000000003,3305.34, So he had no interest in the wealth.
3305.34,3309.82," And Jamalqa, he had sided before with Wang Han,"
3309.82,3312.2200000000003, which was very advantageous because they had more
3312.2200000000003,3315.06," trade goods and wealthier people and all,"
3315.06,3319.06," but he just didn't have the temperament, I think,"
3319.06,3323.1800000000003, that was gonna be helpful for Genghis Khan's continued rise.
3323.1800000000003,3324.6200000000003, That is one of the powerful things
3324.6200000000003,3326.6200000000003, about the Genghis Khan stories.
3326.6200000000003,3327.94, He came from nothing.
3327.94,3329.7000000000003, From absolute nothing.
3329.7000000000003,3333.2200000000003," And he didn't, from what I see and understand,"
3333.2200000000003,3336.42, become sort of corrupted by the riches or change.
3336.42,3339.9800000000005, He fundamentally remained the same person
3339.9800000000005,3342.5000000000005, who does not have value for material things.
3342.5000000000005,3345.1800000000003, He changed and matured in various ways over life
3345.1800000000003,3347.7000000000003," as we all do or we hope we do,"
3347.7000000000003,3350.9800000000005, but he never became avaricious in any way.
3350.9800000000005,3352.3, He was never greedy.
3352.3,3353.38, He was never acquisitive.
3353.38,3355.2200000000003, He kept the simple life.
3355.2200000000003,3357.7000000000003, And part of the simple life for him meant
3357.7000000000003,3360.34, that no one was allowed to write about him.
3360.34,3362.6600000000003, No one was allowed to make his likeness.
3362.7,3364.54, They couldn't paint a picture of him.
3364.54,3367.58, They couldn't make a statue of him.
3367.58,3369.8599999999997, No building could be built dedicated to him.
3369.8599999999997,3373.54," No palace, no tomb, no temple of any sort."
3373.54,3375.3799999999997," Not even at the point of death,"
3375.3799999999997,3377.7, the simplest gravestone.
3377.7,3379.3399999999997," Nothing, nothing."
3379.3399999999997,3382.06," It's fascinating that a kid, like a boy,"
3382.06,3383.62," that doesn't know the world,"
3383.62,3386.3399999999997, would have the intelligence to understand
3386.3399999999997,3387.58, how corrupting that is.
3387.58,3390.8599999999997," Like the moment somebody builds a statue of you,"
3390.86,3394.3," it's like a slippery slope towards becoming,"
3394.3,3395.9," not seeing the world clearly,"
3395.9,3400.1," not seeing, surrounding yourself with sick of hands"
3400.1,3403.02," that don't tell you the information,"
3403.02,3405.6200000000003, not being able to select the right people
3405.6200000000003,3409.3, to lead the armies or to lead the territories
3409.3,3410.34, that you conquer.
3410.34,3413.1400000000003, So it's interesting that he had that foresight
3413.1400000000003,3417.46," of don't record, don't worship."
3417.46,3419.38, That's because that's a dangerous road
3419.38,3420.5, to go down for a leader.
3420.5,3424.82," And it's very hard to explain how he stuck to that,"
3424.82,3426.02, how he got it.
3426.02,3428.18, You're so easily corrupted by power.
3430.66,3435.66, And yet he maintained this very fierce attitude
3435.94,3439.86," towards his relationship was with the people around him,"
3439.86,3444.3," his guard mostly, or his private part of the army"
3444.3,3446.98," that went with him, the central part of the army."
3446.98,3448.86," That was his relationship, his family."
3448.86,3450.6200000000003, He had four wives.
3450.6200000000003,3452.98, This was what was important to him.
3452.98,3456.1," And in fact, no portrait was painted until 1278."
3456.1,3458.86," Well, by then he'd already been dead for 51 years."
3458.86,3463.86, And then no statue until the 21st century.
3466.1400000000003,3466.98, Just incredible.
3466.98,3469.9, But let's go to the document
3469.9,3472.7000000000003," that you referenced several times, the Secret History."
3473.6600000000003,3476.06, The Secret History is a very unusual document
3476.2999999999997,3478.86, and I happen to love it very much.
3478.86,3481.22," But I said, Chinggis Khan allowed nothing"
3481.22,3484.14, to be written about him in his lifetime.
3484.14,3485.82, The people couldn't take notes.
3485.82,3489.18," Even the army was, he, Chinggis Khan"
3489.18,3491.22, ordered the invention of the alphabet
3491.22,3492.22, for the Mongol people.
3492.22,3494.86, And it was adapted from the Uyghur people.
3494.86,3498.5," And so to this day, it's often called the Uyghur alphabet,"
3498.5,3499.9, the Uyghur alphabet.
3499.9,3502.14, So he had ordered that and he'd ordered his children
3502.14,3503.5, to learn to read and write.
3503.5,3507.22," And some did, I think most did not, but some did."
3507.22,3510.86," But one of the things he did with every campaign,"
3510.86,3515.38," even the one at the market when he rescued Bertha,"
3515.38,3519.74, was he always adopted one orphan.
3521.14,3524.7, And that child became a full member
3524.7,3527.06, of the Mongol nation in his household.
3527.06,3529.7," His mother, Erlun, would raise the child."
3529.7000000000003,3533.6600000000003, So she eventually had a whole household full of boys
3533.6600000000003,3536.86," of different tribes, but they all became"
3536.86,3539.94, very high-ranking members of the government.
3539.94,3542.82, And one was the Tatar boy who turned out
3542.82,3545.0200000000004," not to be so great as a soldier,"
3545.9800000000005,3547.9800000000005, but he could read and write.
3547.9800000000005,3548.82, He was the best.
3548.82,3551.9," And later eventually he became the Supreme Judge,"
3551.9,3554.1800000000003," appointed by Chinggis Khan, of course."
3554.1800000000003,3556.4600000000005," And so when Chinggis Khan died,"
3556.4600000000005,3558.38, he recognized it was important
3558.38,3559.86, not just to write down the law.
3559.86,3561.94, That's all Chinggis Khan allowed to be written
3561.94,3563.9," in blue books, only the law."
3563.9,3567.5," Nothing about him or campaigns or military, anything."
3567.5,3569.86, But Shigihutuq was his name.
3569.86,3573.38," Shigihutuq realized that this was gonna be lost,"
3573.38,3576.26, that this is a great historic thing that has happened.
3576.26,3577.9, So he compiled the work.
3577.9,3580.02," Part of it, I don't know, other people contributed,"
3580.02,3582.7000000000003," helped him, but it's a little bit unclear."
3582.7000000000003,3584.5," Mongols, they don't specify that."
3584.5,3587.1400000000003, They always tell you exactly where something happens.
3587.14,3590.5, So we know exactly where it happened in Mongolia.
3590.5,3592.7, You can still go to that spot where he wrote it.
3592.7,3595.2999999999997, That's very important to the Mongols.
3595.2999999999997,3597.14, And we also know it's the year of the mouse.
3597.14,3601.12," So it was 1228, Chinggis Khan had died in 27."
3602.02,3604.62," So he wrote down, it begins with what we would say"
3604.62,3607.1, are the myths.
3607.1,3608.2599999999998," Although I'm not sure they're myths,"
3608.2599999999998,3609.46, but the origins of the myths.
3609.46,3612.46, It begins with the marriage of a gray-blue wolf
3612.46,3614.58, with a tawny deer.
3614.58,3616.74," Then some people say, well, that's some kind of myth."
3617.1400000000003,3619.38," It's totemic, and Mongols mostly,"
3619.38,3621.5400000000004," they look at me, I asked them about this."
3621.5400000000004,3622.5600000000004," They said, what?"
3623.7000000000003,3628.7000000000003," He was named, blue-gray wolf, she was named tawny deer."
3628.82,3632.3," They married, you know, very practical about it."
3632.3,3633.5000000000005, And they think they're real people.
3633.5000000000005,3635.7000000000003," Maybe they were or not, I don't know."
3635.7000000000003,3638.98, But so this earlier history is just the genealogy
3638.98,3642.2200000000003," as it should be, who knows."
3642.2200000000003,3644.6200000000003," But it's also in there because like Bodanchar,"
3644.6200000000003,3646.1400000000003, they call it Bodanchar the fool.
3646.18,3648.7799999999997," The ancestor of Temujin, he's cast out"
3648.7799999999997,3650.9, because he's just so dumb.
3650.9,3652.7999999999997, The rest of the family doesn't want him.
3652.7999999999997,3655.62, And his father is undetermined who he was.
3655.62,3657.9, He kidnapped the Urihanghai woman.
3657.9,3660.64, She has the child who becomes the ancestor of Temujin.
3660.64,3662.58," So it's a confusing mess,"
3662.58,3665.3399999999997, but I tend to think it's probably accurate.
3665.3399999999997,3666.7, It has a lot of good information.
3666.7,3669.58," And by the time you get to the life of Temujin,"
3669.58,3671.58, the reason we know these intimate things
3671.58,3675.14," is because that person, Shigihuto, he was there,"
3675.14,3677.3599999999997, sleeping in the same gear with the people.
3677.3599999999997,3680.5," So we even see in there, he will record instances"
3680.5,3684.58," where Berta sits up in bed and tells her husband,"
3684.58,3686.46," okay, you gotta do this, you gotta do that."
3686.46,3687.66, You can't do this anymore.
3687.66,3690.54," We can't think of, you know, it's all recorded, right?"
3690.54,3692.62, So it's a very intimate document.
3692.62,3694.58, And this is one reason that it was secret.
3694.58,3696.94, It was only for the family.
3696.94,3699.2599999999998, They were trying to uphold Singshan's prohibition
3699.2599999999998,3702.7, against putting out information about the family.
3702.7000000000003,3705.78," So a secret for a very long time,"
3705.78,3710.26, so much so that scholars began to think it didn't exist.
3710.26,3713.5400000000004," And then in the 19th century, a Russian academic"
3713.5400000000004,3718.42," who was working in China at the time in Beijing,"
3718.42,3722.78," he discovered a manuscript which was very, very odd"
3722.78,3724.7200000000003, that people didn't think was anything
3724.7200000000003,3726.84," because it's all Chinese characters,"
3728.0800000000004,3730.86, but it makes no sense in Chinese.
3730.86,3735.34," But he recognized, but if you read it, pronounce it,"
3735.34,3737.78, it makes sense in Mongolian.
3737.78,3741.2200000000003, And so it was in this code that had been used
3741.2200000000003,3743.88, to record the information in Chinese.
3743.88,3746.0, So they're recording the sounds.
3746.0,3747.1400000000003," The sounds, correct."
3747.1400000000003,3751.1200000000003," They use Chinese characters to record sounds,"
3751.1200000000003,3753.78, which is always problematic in some little areas
3753.78,3756.9, you're not exactly sure what the name is or something like.
3756.9,3759.92, But it was a very unusual document.
3760.98,3762.3," And then once they found it,"
3762.3,3765.06, they realized that some of the Persian documents
3765.06,3767.6, had incorporated part of that already.
3767.6,3769.2200000000003, So that was very helpful to me
3769.2200000000003,3771.42, because some of the Persians I trust very much
3771.42,3773.98, and I liked their work very much.
3773.98,3776.76, And so it was helpful that it already existed
3776.76,3780.9," and some of it existed in Mongolian,"
3780.9,3783.7400000000002, other Mongolian sources that were written later.
3783.7400000000002,3786.6600000000003, Some of it was just incorporated.
3786.6600000000003,3789.42," So it seemed to be fairly genuine,"
3789.42,3792.1, but it wasn't 100% pure.
3792.1,3795.52, It had little things had happened to it along the way.
3796.78,3798.66, Some things have been stepped here and there
3798.66,3800.3, and a few words changed.
3800.3,3802.62," Like sometimes for Temujin, they call him Chinggis Khan."
3802.62,3804.3," Well, he wasn't the Han then."
3804.3,3806.7400000000002," And sometimes they call him Han, which is like chief."
3806.7400000000002,3809.3," And other times Han, which is emperor."
3809.3,3811.7000000000003," Well, in Mongolian it's a big difference."
3811.7000000000003,3813.1800000000003, So there are little things like this
3813.1800000000003,3816.02," that move around that you're not sure why,"
3816.02,3819.3, but it's a document that I have great faith in.
3819.3,3822.5," It was not published in English until 1982,"
3822.5,3825.38, but Francis Woodman Cleves at Harvard University
3825.38,3827.5800000000004, translated it in the 50s.
3827.5800000000004,3829.6200000000003, It was ready for publication
3829.6200000000003,3832.0600000000004, and he was having trouble with the publisher.
3832.0600000000004,3835.2200000000003, And so it didn't appear for nearly 30 years.
3835.2200000000003,3836.78, It was supposed to be two volumes.
3836.78,3838.6600000000003, The first volume is the translation.
3838.6600000000003,3842.5, The second volume was going to be the notes
3842.5,3844.34, and the second volume was lost.
3845.34,3849.2200000000003," To this day, it hasn't been found."
3849.2200000000003,3852.2200000000003," I would love to see that, but anyway,"
3852.2200000000003,3854.7000000000003," now it's in all languages, just about in the world."
3854.7000000000003,3855.54, Can you clarify?
3855.54,3857.3, So there's two volumes.
3857.3,3861.1400000000003, The 19th century Chinese manuscript
3861.1400000000003,3863.2200000000003, covers the first volume.
3863.2200000000003,3864.94," Yes, that was translated"
3864.94,3867.2200000000003, and then published by Harvard University.
3867.2200000000003,3870.1000000000004," But the notes were just the notes from the scholar,"
3870.1000000000004,3871.7400000000002, Francis Woodman Cleves.
3871.7400000000002,3874.1400000000003," Those were his notes, not Mongolian notes."
3874.58,3876.8599999999997, There are Chinese notes that went with it
3876.8599999999997,3879.46, because the Chinese had trouble understanding
3879.46,3881.2599999999998, a lot of things in it.
3881.2599999999998,3883.98," And they also, they disapproved of some things."
3883.98,3886.8599999999997, So they would try to put their own notes in the margins
3886.8599999999997,3890.22, to kind of correct the story and explain a way
3890.22,3895.22, why the Mongols women would be often marrying their stepson.
3895.74,3900.3399999999997, It just did not match with Confucian ethics.
3900.3399999999997,3901.66, So there are several things like that
3901.66,3903.3399999999997, that they try to skip around.
3903.34,3907.6600000000003, But so it's interesting just to read the Ming dynasty notes
3907.6600000000003,3909.06, that are attached to it.
3910.1800000000003,3914.06," But the document itself, Mongolian Nutsutopcho,"
3914.06,3915.6600000000003, it's just so important.
3915.6600000000003,3917.7000000000003," And for me, it was the guiding document."
3917.7000000000003,3921.1400000000003, I didn't want to be guided by anything else first.
3921.1400000000003,3923.1000000000004," Everything else I would check, they're correlated"
3923.1000000000004,3925.54, and fill in blanks and give more information.
3925.54,3930.54, But I went to Mongolia to travel around to those places
3930.7000000000003,3933.1000000000004, because they are so exact in there.
3933.18,3934.74, And to feel it.
3934.74,3937.46," And it's so important, I think,"
3937.46,3940.02, because history does not live in books.
3940.02,3942.98, History does not live in archives or even libraries
3942.98,3945.9, as much as I need them for my work.
3945.9,3948.1, But history lives in the people.
3948.1,3951.38, History lives in the memory of the people and the culture.
3951.38,3955.42," And for example, the episode with the kidnapping of Berchtek."
3955.42,3959.2599999999998," So I went to that place and I didn't know when it happened,"
3959.2599999999998,3960.9, what season it happened.
3960.9,3963.06, It was very important for figuring out the births
3963.06,3965.42, that came afterwards and other events
3965.42,3966.7, that were being correlated.
3966.7,3967.74, Very important to me.
3967.74,3970.46, And so I'm just talking to the people who live
3970.46,3972.62," in that valley, the nomads there."
3972.62,3975.2599999999998," They said, oh, it's clear."
3975.2599999999998,3976.62, It was the winter.
3976.62,3979.14," I said, oh, where did you read that?"
3979.14,3981.62," Said, no, Granny Kwakson was on the ground"
3981.62,3983.34, and she could feel the vibrations.
3983.34,3986.1," She said, look, this is summertime now."
3986.1,3987.46, You're not gonna feel any vibrations.
3987.46,3989.06, The ground here is so soft.
3990.06,3993.9," Suddenly, a whole important piece that I've been searching"
3993.9,3998.9, for just came together from some nomad sitting there
4000.18,4005.18, next to his horse and he was absolutely right.
4005.86,4007.58, It could only happen in the winter.
4007.58,4009.74, And that also correlates with the time
4009.74,4010.98, that reading was done.
4010.98,4013.06, So it correlates with other historic factors.
4013.06,4015.46, But then that gave me the time basis
4015.46,4017.2999999999997, for figuring out a lot of other things.
4017.98,4019.9, History lives in the people.
4019.9,4024.9," Just to link on that point, you visited different places"
4025.1800000000003,4028.2200000000003, that were important to the story of Genghis Khan.
4028.2200000000003,4030.02, What did it feel like?
4030.02,4032.34, What are some memorable things about
4034.0600000000004,4036.46, just the experience of standing there?
4038.0600000000004,4040.1800000000003, I really set out mostly to visit the cities
4040.1800000000003,4043.46, he had conquered across Central Asia and all.
4043.46,4044.86, There was so little to learn.
4044.86,4046.46," I mean, everything was kind of known"
4046.46,4048.7400000000002, of whatever the chroniclers had recorded.
4048.7400000000002,4051.98, The archeologists had found whatever they had found.
4051.98,4054.78, And I get there and he hadn't spent much time there.
4054.78,4056.38, He didn't identify with it.
4056.38,4057.46, I wasn't feeling anything.
4057.46,4061.18," But in Mongolia, I would go to these places"
4061.18,4063.78," and I would know if Genghis Khan came back today,"
4063.78,4065.98, he would know exactly where he is.
4065.98,4067.1, There's no road.
4067.1,4067.94, There's no sign.
4067.94,4069.46, There's no building.
4069.46,4072.58, There's no power line going.
4072.58,4073.42, Nothing.
4073.82,4078.02," Just to smell the air, to feel it, to see the animals"
4078.02,4080.1800000000003," and to see what kind of animals live here,"
4080.1800000000003,4082.62," what kind of plants are growing here,"
4082.62,4086.3, you begin to get a feeling for how he was thinking.
4086.3,4088.02," And then you begin to see,"
4088.02,4090.42," ah, I know which direction they came from."
4090.42,4092.82, The only direction they could come from was that way.
4092.82,4094.26, You begin to see it.
4094.26,4099.26, And his life starts to unfold in a very dramatic way
4099.7,4101.06," that I have the text,"
4101.900000000001,4105.700000000001," but the text is like it has no scenery, no props,"
4105.700000000001,4106.54, nothing like that.
4106.54,4108.42, The Mongols all understand their way of life.
4108.42,4110.740000000001, They don't need to explain anything.
4110.740000000001,4113.38, They know which way the gear faces with the sun.
4113.38,4114.860000000001, They know all these things.
4114.860000000001,4116.780000000001," But for me, that's how I learned it."
4116.780000000001,4119.02, It was from being with the people.
4119.02,4121.54, It was the most important thing.
4121.54,4124.900000000001, And this was starting in the 1990s.
4124.900000000001,4129.900000000001," And the people, at this time, they were amazed"
4129.9,4131.82, that I would come.
4131.82,4133.7, The Soviet era had just ended.
4133.7,4135.86, Socialism was just ending.
4135.86,4137.62, Democracy was starting.
4137.62,4140.54, And Chinggis Khan had been forbidden to them
4140.54,4142.58, for almost the entire century.
4142.58,4145.0599999999995, And every known descendant of Chinggis Khan
4145.0599999999995,4146.94, was killed in Mongolia.
4148.179999999999,4149.78," Following the secret history,"
4149.78,4153.0599999999995, that became the key to writing what I wrote.
4153.0599999999995,4155.78," Take the history, which is difficult to understand."
4155.78,4159.5, You have to go over and I often never understand
4159.5,4162.18, the different parts or I change my mind
4162.18,4163.98," and think it was yes, now it's no."
4165.14,4168.26, But the secret history is a valuable document.
4168.26,4171.22," And to me, also, it's the opening document"
4171.22,4174.26, of Mongolian written language.
4174.26,4176.1, And I think it's very important
4176.1,4180.5, how do people begin their written language.
4181.58,4184.58," And they begin it with the words deri thinges,"
4185.42,4189.74," deri thinges, from highest heaven,"
4189.74,4193.34, came the destiny of the blue wolf
4193.34,4197.34, who was married to the tawny deer and their descendants
4197.34,4199.3, who came from the great sea
4199.3,4201.86, to live at the base of Mount Burhan Haldun.
4203.26,4207.54," And then integrating the spiritual elements of nature,"
4207.54,4208.94, the mountains and the great sea
4208.94,4213.0599999999995," and this kind of, just like a deep connection to nature"
4213.0599999999995,4213.9, that they have.
4214.94,4218.14," Mongolia is a world that, for the most part,"
4218.14,4220.86, is the same as when Chinggis Khan was there.
4220.86,4223.9, We cannot say that far to any other place in the world.
4225.3,4227.0599999999995," I mean, certainly not for America,"
4227.0599999999995,4228.86," but just a few hundred years ago,"
4228.86,4231.0199999999995, it was entirely different.
4231.0199999999995,4232.9," People, languages, everything."
4232.9,4235.46, But you can't say it for London or Moscow
4235.46,4239.0599999999995," or Istanbul, Constantinople,"
4239.0599999999995,4241.14, all of these things have changed so much.
4241.14,4243.54, But Mongolia is still Mongolia.
4243.54,4247.62, It's one of the largest countries in the world in space
4247.62,4252.1," with the fewest number of people, about today 3.3 million."
4252.1,4255.74, And they're spread out and they live in their environment
4255.74,4257.42, in such an intimate way.
4258.78,4261.5," This was important for learning about Chinggis Khan,"
4261.5,4265.58," how he thought, how he hunted, how he strategized for war."
4265.58,4267.3, You learn that from the people today
4267.3,4270.82," because they are still there, they're still living."
4270.82,4274.0599999999995, What's the open Mongolian step like?
4274.0599999999995,4278.66," As we return to the feeling of Timogen and Chinggis Khan,"
4278.66,4280.42, what's it like looking at this place
4280.42,4282.86, that has not changed since his time?
4282.86,4284.46, The first thing I think about this step
4284.46,4289.42, is that you can see forever in every direction.
4289.42,4293.74," There's no building, nothing to stop your line of view."
4293.74,4297.42, And it's like being in the ocean in many ways.
4297.42,4299.5, So you have this extremely open space
4299.5,4302.06, and the wind is usually blowing through it.
4302.06,4303.78, But it's extremely fresh.
4303.78,4306.62," It's coming out of Siberia, it's coming out of the Arctic."
4306.62,4309.38, It sweeps down across Mongolia.
4309.38,4312.98," Cold is the dick sometimes, but it's always fresh,"
4312.98,4314.18, always fresh.
4314.18,4316.94," So you have the wind coming in,"
4316.94,4319.26," you have the smell of the wind,"
4319.26,4322.58, but also then there's grass.
4322.58,4325.14, The smell of grass becomes very important.
4325.18,4329.54," Now, because of the particular location,"
4329.54,4330.740000000001," from one year to another,"
4330.740000000001,4332.34, one area may have grass one year
4332.34,4335.38," and then drought the next year, another area has grass."
4335.38,4338.900000000001," So you don't always know, if it's not grass, it's dust."
4338.900000000001,4341.740000000001," You have dust flowing in, the dust doesn't smell so good,"
4341.740000000001,4343.660000000001, it doesn't feel so good.
4343.660000000001,4346.9400000000005, But that's just one more part of the country.
4348.46,4350.740000000001, The waters are mostly pure.
4350.740000000001,4353.5," Now, unfortunately, there has been pollution"
4353.78,4358.34, in this century from mining in several areas.
4358.34,4361.22," But even when I was there,"
4361.22,4363.94," even today, when we go to some place like the Selang River,"
4363.94,4365.98, where we talk about the market lift.
4365.98,4369.3, So it's a place of pure waters.
4369.3,4372.94," And that's how Mongolians define their world,"
4372.94,4374.62, is by the water.
4374.62,4378.34," They don't, Chinggis Khan does not give lands"
4378.34,4380.58, to his sons to rule.
4380.62,4384.46, He gives waters and people to rule.
4384.46,4386.58," They do not refer to the earth as land,"
4386.58,4391.58," they refer to the earth as Dalai, ocean, the sea."
4391.62,4393.94, And so water is very important.
4393.94,4397.78," And to learn the rules about water,"
4397.78,4399.62, you don't camp by water.
4399.62,4401.38," If you camp by water, your animals"
4401.38,4403.86," and you are gonna be polluting it, messing it up."
4403.86,4406.1," So they're back, maybe in our modern terms,"
4406.1,4407.66, about a kilometer back.
4407.66,4410.82, You take the animals to the river to drink
4410.82,4412.62, and then you take them away.
4412.62,4414.86, You do not bathe in that river.
4414.86,4417.46, You take the water away from the river
4417.46,4419.22, and you bathe away from the river.
4419.22,4421.58, So you do not pollute the river.
4421.58,4424.3, The rules are very strict and very clear.
4424.3,4426.86, And they're from the time of Chinggis Khan
4426.86,4428.3, about how to deal with.
4428.3,4430.66," Well, also it's dangerous to live close to the river"
4430.66,4432.62, because there are flash floods in the summertime.
4432.62,4435.42, You could suddenly have it and it could wipe away
4435.42,4437.78, if your camp is right there by the water.
4439.06,4442.62," So the people, they live with nature in a way"
4442.62,4444.9800000000005, that I don't see anywhere else in the world.
4446.02,4449.54, And even today with the changes with the cell phone
4449.54,4452.5, and with solar panels and they could get TV
4452.5,4454.58," out in the middle of the step,"
4454.58,4457.1, still they're living a similar life.
4457.1,4460.06, The young people of course wanna drive a motorbike
4460.06,4463.22, but they're still herding cows and yaks and camels.
4463.22,4465.06," If it's on a motorbike, okay."
4465.06,4467.18, They're still doing it the Mongol way.
4468.3,4473.3," But then if we go to the time of Timogen, of Chinggis Khan,"
4474.42,4477.18, another component is the horses.
4477.18,4479.9800000000005, Can we talk about their relationship with the horse?
4479.9800000000005,4483.46," Thinking about this open step from a young age,"
